compound_name,slug,status_label,category,category_color,prompt
"FOXO4-DRI","foxo4-dri","Research","longevity","antique gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text FOXO4-DRI; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in antique gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell FOXO4-DRI exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"IGF-1 LR3","igf-1-lr3","Research","growth_factor","signal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text IGF-1 LR3; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in signal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell IGF-1 LR3 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"MGF E-domain","mgf","Research","muscle_repair","forest green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text MGF E-domain; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in forest green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell MGF E-domain exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"PEG-MGF","peg-mgf","Research","muscle_repair","forest green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text PEG-MGF; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in forest green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell PEG-MGF exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Follistatin","follistatin","Research","growth_factor","signal blue","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Follistatin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in signal blue; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Follistatin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Thymosin Alpha-1","thymosin-alpha-1","Investigational","immune","clinical red","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Thymosin Alpha-1; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in clinical red; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Thymosin Alpha-1 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"GHK-Cu","ghk-cu","Research","skin_cosmetic","orchid","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text GHK-Cu; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in orchid; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell GHK-Cu exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"LL-37","ll-37","Research","antimicrobial","amber gold","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text LL-37; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in amber gold; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell LL-37 exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"KPV","kpv","Research","skin_cosmetic","orchid","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text KPV; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in orchid; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell KPV exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Dihexa","dihexa","Research","cognitive","violet purple","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Dihexa; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in violet purple; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Dihexa exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Humanin","humanin","Research","mitochondrial","sunset orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Humanin; smaller secondary text Research; clean white medical-style label; one subtle accent stripe in sunset orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Humanin exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Research, square composition."
"Elamipretide","elamipretide","Investigational","mitochondrial","sunset orange","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Elamipretide; smaller secondary text Investigational; clean white medical-style label; one subtle accent stripe in sunset orange; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Elamipretide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Investigational, square composition."
"Semaglutide","semaglutide","Rx","metabolic","emerald green","Create a clean premium product mockup for a fictional peptide brand called PeptidePros. Show a single amber glass peptide vial or bottle centered in frame on a soft light studio background. The bottle should feel modern, clinical, premium, and highly polished. Use realistic product photography lighting, subtle reflections, and a soft shadow under the bottle. Label design: brand name at top PeptidePros; main compound name in large clear text Semaglutide; smaller secondary text Rx; clean white medical-style label; one subtle accent stripe in emerald green; no extra marketing claims, dosage numbers, badges, or clutter. Bottle requirements: amber or smoked glass, dark cap, front-facing product shot, exactly one product, no box, no pills, no syringes, no molecules, no lab equipment, no hands, no people. Style: premium ecommerce hero image, photorealistic, minimalist, clinical but branded, clean composition with negative space. Important constraints: spell Semaglutide exactly, spell PeptidePros exactly, no watermark, no misspelled text, no additional text beyond brand, compound name, and Rx, square composition."
